"","V1","C_ele_gene_ID","WormBase.Gene.ID","Public.Name","Gene.Ontology.Association","Concise.Description","Automated.Description"
"189","Gpal_D383_g07560","F39D8.3","WBGene00009561","F39D8.3","N.A.","N.A.","Is enriched in germline precursor cell\; hypodermis\; sensory neurons\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and daf-12 based on tiling array\; RNA-seq\; and microarray studies. Is affected by eleven chemicals including 1-methylnicotinamide\; methylmercuric chloride\; and D-glucose based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Cystine-knot cytokine."
"190","Gpal_D383_g08961","Y57A10A.18","WBGene00004167","pqn-87","cysteine-type endopeptidase activity, ""cytosol"", ""nucleus"", ""protein deubiquitination"", ""thiol-dependent ubiquitin-specific protease activity""","The protein product of this gene is predicted to contain a glutamine\/asparagine (Q\/N)-rich ('prion') domain, by the algorithm of Michelitsch and Weissman (as of the WS77 release of WormBase, i.e., in wormpep77).","Is enriched in AVK\; RIS\; and germ line based on proteomic and RNA-seq studies. Is affected by several genes including glp-1\; daf-12\; and let-7 based on microarray\; RNA-seq\; tiling array\; and proteomic studies. Is affected by six chemicals including rotenone\; Tunicamycin\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: MATH domain\; MATH\/TRAF domain\; and TRAF-like."
"191","Gpal_D383_g03784","C05D11.9","WBGene00015486","popl-1","nucleolar ribonuclease P complex, ""ribonuclease MRP complex"", ""RNA phosphodiester bond hydrolysis, ""tRNA 5'-leader removal"", ""tRNA processing"", endonucleolytic""","C05D11.9 encodes an ortholog of Pop1, a protein subunit shared by theendoribonucleases RNase MRP and RNAse P\; RNAse MRP cleavesmitochondrial RNA in mitochondrial DNA synthesis, nucleolar pre-rRNA inribosome synthesis, and at least one mRNA (CLB2) involved in cell-cycleregulation\; RNAse P cleaves tRNA precursors to produce their mature 5'end\; C05D11.9 is evolutionarily ubiquitous among eukaryotes.","Is enriched in body wall muscle cell and germ line based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and let-60 based on microarray and RNA-seq studies. Is affected by ten chemicals including rotenone\; manganese chloride\; and D-glucose based on RNA-seq and microarray studies. Human POP1 Contributes to ribonuclease P activity. Is predicted to encode a protein with the following domains: POPLD (NUC188) domain\; Ribonucleases P\/MRP protein subunit POP1\; Pop1, N-terminal\; POPLD domain\; and Ribonucleases P\/MRP protein subunit Pop1. Is an ortholog of human POP1 (POP1 homolog, ribonuclease P\/MRP subunit)."
"192","Gpal_D383_g04927","C32D5.3","WBGene00016311","efr-3","plasma membrane, ""protein localization to plasma membrane""","C32D5.3 encodes an ortholog of ROLLING BLACKOUT (RBO\; also called CMP44E or STAMPHA), a eukaryotic protein required for sustained phospholipase C activity during Drosophila phototransduction\; RBO homologs have two predicted transmembrane helices, are significantly similar to several acylglycerol lipases, and share motifs characteristic of carboxyesterases and lipases.","Is enriched in AVK\; DD neuron\; NSM\; germ line\; and neurons based on RNA-seq and microarray studies. Is affected by several genes including daf-2\; hsf-1\; and gld-1 based on RNA-seq\; tiling array\; and microarray studies. Is affected by ten chemicals including Alovudine\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: Armadillo-type fold. Is an ortholog of human EFR3A (EFR3 homolog A) and EFR3B (EFR3 homolog B)."
"193","Gpal_D383_g09261","Y65B4BR.6","WBGene00001725","grl-16","N.A.","grl-16 encodes, by alternative splicing, two hedgehog-like proteins withan N-terminal signal sequence, a central proline-rich low-complexityregion, and a C-terminal Ground-like (Grl) domain\; the Grl domain ispredicted to form a cysteine-crosslinked protein involved inintercellular signalling, and it has subtle similarity to the N-terminalHedge domain of HEDGEHOG proteins.","Is enriched in germ line\; germline precursor cell\; hypodermis\; intestine\; and neurons based on proteomic\; tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-2\; and glp-1 based on microarray\; proteomic\; and RNA-seq studies. Is affected by nineteen chemicals including hydrogen sulfide\; 1-methylnicotinamide\; and nicotinic acid based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Ground-like domain and Ground-like domain."
"194","Gpal_D383_g09212","Y57A10C.6","WBGene00013284","daf-22","acyl-CoA metabolic process, ""ascaroside biosynthetic process"", ""dauer entry"", ""dauer exit"", ""lipid binding"", ""lipid transport"", ""negative regulation of lipid storage"", ""olfactory learning"", ""peroxisome"", ""pheromone biosynthetic process"", ""positive regulation of developmental growth"", ""positive regulation of intracellular cholesterol transport"", ""positive regulation of nematode larval development"", ""propanoyl-CoA C-acyltransferase activity"", ""propionyl-CoA C2-trimethyltridecanoyltransferase activity"", ""regulation of chemotaxis"", ""response to pheromone"", ""transferase activity, ""transferase activity, ""transferase activity"", ""very long-chain fatty acid metabolic process"", transferring acyl groups other than amino-acyl groups"", transferring acyl groups""","daf-22 encodes the C. elegans ortholog of human sterol carrier protein SCP2, which catalyzes the final step in peroxisomal fatty acid beta-oxidation\; in C. elegans, DAF-22 activity is required for dauer pheromone biosynthesis\; daf-22 mutant animals cannot produce dauer pheromone, but can synthesize weakly active longer-chain fatty acid derivatives\; in synthesizing dauer pheromone, DAF-22 acts downstream of DHS-28, the C. elegans ortholog of human HSD17B4 (hydroxysteroid (17-beta) dehydrogenase 4)\; a DAF-22::GFP fusion protein is expressed in a punctate pattern in the intestine, hypodermis, and body wall muscle throughout the life cycle\; DAF-22 expression in the intestine is sufficient to produce dauer pheromone.","Enables propanoyl-CoA C-acyltransferase activity. Is involved in several processes, including dauer larval development\; positive regulation of developmental process\; and small molecule metabolic process. Located in peroxisome. Is expressed in body wall musculature\; hypodermis\; intestine\; and neurons. Is used to study obesity. Human ortholog(s) of this gene are implicated in Zellweger syndrome. Is an ortholog of human SCP2 (sterol carrier protein 2)."
"195","Gpal_D383_g01584","H03E18.1","WBGene00019148","H03E18.1","N.A.","N.A.","Is enriched in OLL\; PLM\; PVD\; and hypodermis based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by twenty-four chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and manganese chloride based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Phosphorylation site\; PAN domain\; and PAN\/Apple domain."
"196","Gpal_D383_g00962","ZK546.2","WBGene00022759","ZK546.2","N.A.","N.A.","Is enriched in PLM\; germ line\; hypodermis\; and intestine based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; daf-12\; and hsf-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by six chemicals including Zidovudine\; Hydrolyzable Tannins\; and Humic Substances based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Leucine rich repeat\; Leucine-rich repeat\; Leucine-rich repeat, typical subtype\; and Leucine-rich repeat domain superfamily. Is an ortholog of human LRRC57 (leucine rich repeat containing 57)."
"197","Gpal_D383_g09635","VM106R.1","WBGene00014848","VM106R.1","protein homooligomerization, ""receptor complex""","N.A.","Is enriched in AVK and neurons based on RNA-seq studies. Is affected by several genes including daf-16\; mex-3\; and mex-1 based on tiling array\; microarray\; and RNA-seq studies. Is affected by six chemicals including Psoralens\; allantoin\; and Sirolimus based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Phosphorylation site\; BTB\/POZ domain\; BTB\/POZ domain\; Potassium channel tetramerisation-type BTB domain\; and SKP1\/BTB\/POZ domain superfamily. Is an ortholog of human KCTD12 (potassium channel tetramerization domain containing 12)."
"198","Gpal_D383_g02596","C27F2.10","WBGene00016171","C27F2.10","double-stranded DNA binding, ""nuclear retention of pre-mRNA at the site of transcription"", ""poly(A)+ mRNA export from nucleus"", ""posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery"", ""RNA binding"", ""transcription elongation from RNA polymerase II promoter"", ""transcription export complex 2""","N.A.","Is enriched in germ line and germline precursor cell based on RNA-seq studies. Is affected by several genes including daf-2\; sir-2.1\; and clk-1 based on RNA-seq and microarray studies. Is affected by six chemicals including D-glucose\; Zidovudine\; and Rifampin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: PCI domain\; Proteasome component (PCI) domain\; and Winged helix-like DNA-binding domain superfamily. Is an ortholog of human PCID2 (PCI domain containing 2)."
"199","Gpal_D383_g15790","M60.4","WBGene00019780","M60.4","integral component of membrane, ""membrane""","N.A.","Is enriched in several structures, including body wall musculature\; dopaminergic neurons\; head mesodermal cell\; intestine\; and mechanosensory neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; daf-2\; and glp-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by eighteen chemicals including aldicarb\; rotenone\; and Tunicamycin based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domain: ."
"200","Gpal_D383_g02094","R09E12.3","WBGene00019983","sti-1","ATPase inhibitor activity, ""cytoplasm"", ""determination of adult lifespan"", ""Hsp70 protein binding"", ""Hsp90 protein binding"", ""multicellular organism development"", ""negative regulation of ATPase activity"", ""protein binding"", ""regulation of catalytic activity"", ""reproduction"", ""response to heat""","sti-1 encodes the C. elegans ortholog of the Sti1\/Hop family of heat shock cochaperones\; sti-1 plays a role in stress response, as sti-1 mutant animals have a shortened lifespan, decreased fertility at 20C, 25C, and 30C, and decreased thermotolerance\; genetic interaction studies suggest that sti-1 may function together with daf-16 in regulating thermotolerance\; STI-1 physically interacts with a number of proteins including HSP-1\/Hsp70 and DAF-21\/Hsp90, as well as proteins involved in translation and localized to the endoplasmic reticulum\; a STI-1::GFP reporter is widely expressed in embryos as well as larvae and adults, with expression found in the pharynx, intestine, neurons, vulva, body wall muscles and male sensory rays\; STI-1 appears to be a cytoplasmic protein.","Enables ATPase inhibitor activity\; Hsp70 protein binding activity\; and Hsp90 protein binding activity. Is involved in several processes, including determination of adult lifespan\; negative regulation of ATPase activity\; and response to heat. Located in cytoplasm. Is expressed in several structures, including gonad\; male-specific anatomical entity\; pharyngeal muscle cell\; touch receptor neurons\; and vulva. Is an ortholog of human STIP1 (stress induced phosphoprotein 1)."
"201","Gpal_D383_g03297","K01C8.6","WBGene00010458","mrpl-10","large ribosomal subunit, ""mitochondrial large ribosomal subunit"", ""ribosome"", ""structural constituent of ribosome"", ""translation""","N.A.","Is enriched in germ line\; germline precursor cell\; intestine\; muscle cell\; and somatic gonad precursor based on RNA-seq and microarray studies. Is affected by several genes including daf-16\; daf-2\; and sir-2.1 based on microarray and RNA-seq studies. Is affected by eight chemicals including Rifampin\; allantoin\; and antimycin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Ribosomal protein L10P and Ribosomal protein L10-like domain superfamily. Is an ortholog of human MRPL10 (mitochondrial ribosomal protein L10)."
"202","Gpal_D383_g09780","C07F11.2","WBGene00015570","C07F11.2","N.A.","N.A.","Is enriched in GABAergic neurons\; dopaminergic neurons\; and excretory cell based on tiling array studies. Is affected by several genes including daf-2\; eat-2\; and sek-1 based on microarray\; RNA-seq\; and tiling array studies. Is affected by seven chemicals including allantoin\; Psoralens\; and Sirolimus based on RNA-seq and microarray studies."
"203","Gpal_D383_g05303","Y42G9A.3","WBGene00021533","Y42G9A.3","N.A.","N.A.","Is enriched in body wall musculature\; muscle cell\; and pharynx based on Chronogram and microarray studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by twenty-two chemicals including 1-methylnicotinamide\; Mercuric Chloride\; and rotenone based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Leucine rich repeat\; Leucine-rich repeat\; Leucine-rich repeat, typical subtype\; and Leucine-rich repeat domain superfamily. Is an ortholog of human LRRC58 (leucine rich repeat containing 58)."
"204","Gpal_D383_g02169","ZC250.1","WBGene00000893","cyn-17","N.A.","N.A.","Is enriched in germ line and pharynx based on microarray and proteomic studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by fourteen chemicals including 1-methylnicotinamide\; methylmercuric chloride\; and manganese chloride based on RNA-seq and microarray studies."
"205","Gpal_D383_g06668","F10G8.3","WBGene00003803","rae-1","axon, ""cell junction"", ""cell projection"", ""mRNA export from nucleus"", ""mRNA transport"", ""nuclear pore"", ""nucleus"", ""protein transport"", ""RNA binding"", ""RNA export from nucleus"", ""synapse"", ""transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery"", ""ubiquitin binding""","N.A.","Is enriched in OLL\; PVD\; and germ line based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; glp-1\; and hsf-1 based on microarray\; RNA-seq\; and proteomic studies. Is affected by eight chemicals including Alovudine\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: WD domain, G-beta repeat\; WD40 repeat\; WD40\/YVTN repeat-like-containing domain superfamily\; G-protein beta WD-40 repeat\; WD40-repeat-containing domain superfamily\; and mRNA export factor Gle2\/RAE1. Is an ortholog of human RAE1 (ribonucleic acid export 1)."
"206","Gpal_D383_g10310","C54G4.7","WBGene00008317","C54G4.7","N.A.","N.A.","Is enriched in muscle cell based on microarray studies. Is affected by several genes including daf-16\; daf-2\; and sir-2.1 based on microarray and RNA-seq studies. Is affected by seven chemicals including Alovudine\; stavudine\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Abhydrolase domain containing 18\; Abhydrolase domain containing 18\; and Alpha\/Beta hydrolase fold. Is an ortholog of human ABHD18 (abhydrolase domain containing 18)."
"207","Gpal_D383_g11227","R08D7.4","WBGene00011144","R08D7.4","N.A.","N.A.","Is enriched in body wall muscle cell\; germ line\; intestine\; and sensory neurons based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; sir-2.1\; and clk-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by D-glucose\; Zidovudine\; and allantoin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Complex 1 protein (LYR family)\; Complex 1 LYR protein\; and LYR motif-containing protein 1. Is an ortholog of human EEF2KMT (eukaryotic elongation factor 2 lysine methyltransferase)."
"208","Gpal_D383_g06170","F42G8.10","WBGene00018361","F42G8.10","integral component of membrane, ""membrane""","N.A.","Is enriched in germ line\; muscle cell\; and neurons based on proteomic and microarray studies. Is affected by several genes including daf-16\; daf-2\; and hsf-1 based on proteomic\; RNA-seq\; and microarray studies. Is affected by four chemicals including stavudine\; Rifampin\; and allantoin based on RNA-seq and microarray studies. Human ortholog(s) of this gene are implicated in linear skin defects with multiple congenital anomalies 3 and nuclear type mitochondrial complex I deficiency 30. Is predicted to encode a protein with the following domains: ESSS subunit of NADH:ubiquinone oxidoreductase (complex I) and NADH:ubiquinone oxidoreductase, ESSS subunit. Is an ortholog of human NDUFB11 (NADH:ubiquinone oxidoreductase subunit B11)."
"209","Gpal_D383_g16664","F43C1.6","WBGene00023422","mrpl-21","mitochondrial large ribosomal subunit, ""ribosome"", ""structural constituent of ribosome""","N.A.","Is enriched in germ line\; intestine\; and somatic gonad precursor based on RNA-seq and microarray studies. Is affected by several genes including daf-2\; glp-1\; and skn-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by aldicarb\; Rifampin\; and allantoin based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Ribosomal prokaryotic L21 protein\; Ribosomal protein L21-like\; and L21-like superfamily. Is an ortholog of human MRPL21 (mitochondrial ribosomal protein L21)."
"210","Gpal_D383_g16150","T24H7.3","WBGene00020782","T24H7.3","cytoplasm, ""kinase regulator activity"", ""protein binding"", ""protein kinase A binding"", ""regulation of canonical Wnt signaling pathway"", ""regulation of kinase activity""","N.A.","Is enriched in germ line\; germline precursor cell\; muscle cell\; neurons\; and retrovesicular ganglion based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; glp-1\; and daf-12 based on tiling array\; RNA-seq\; microarray\; and proteomic studies. Is affected by Zidovudine based on RNA-seq studies. Is predicted to encode a protein with the following domains: Phosphorylation site\; Protein of unknown function (DUF727)\; GSKIP domain\; GSKIP domain superfamily\; and GSK3B-interacting protein. Is an ortholog of human GSKIP (GSK3B interacting protein)."
"211","Gpal_D383_g14228","C50B8.6","WBGene00008228","C50B8.6","integral component of membrane, ""membrane""","N.A.","Is enriched in head mesodermal cell and intestine based on RNA-seq studies. Is affected by several genes including daf-2\; eat-2\; and sek-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by ten chemicals including rotenone\; stavudine\; and Zidovudine based on RNA-seq and microarray studies."
"212","Gpal_D383_g00372","C15F1.1","WBGene00015794","C15F1.1","N.A.","N.A.","Is enriched in PLM and hypodermis based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by thirteen chemicals including rotenone\; D-glucose\; and Zidovudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Domain of unknown function (DUF1794)\; Calycin\; and THAP4-like, heme-binding beta-barrel domain."
"213","Gpal_D383_g00815","F26A10.2","WBGene00017814","F26A10.2","DNA-binding transcription factor activity, ""regulation of transcription by RNA polymerase II"", ""RNA polymerase II cis-regulatory region sequence-specific DNA binding""","F26A10.2 encodes a protein with four zinc-finger domains and a glutamine\/asparagine-rich domain, that is required for maintenance of the germline and for locomotion\; F26A10.2(RNAi) animals are uncoordinated and have sterile progeny.","Is enriched in Psub1\; head mesodermal cell\; neurons\; and pharynx based on microarray and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and skn-1 based on microarray and RNA-seq studies. Is affected by eleven chemicals including 1-methylnicotinamide\; rotenone\; and D-glucose based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Zinc finger C2H2-type and Zinc finger C2H2 superfamily. Is an ortholog of human ZNF148 (zinc finger protein 148)."
"214","Gpal_D383_g03283","C34E10.1","WBGene00001662","gop-3","cellular protein-containing complex assembly, ""integral component of membrane"", ""membrane"", ""mitochondrial outer membrane"", ""mitochondrial respiratory chain complex assembly"", ""mitochondrion"", ""outer membrane"", ""protein insertion into mitochondrial outer membrane"", ""SAM complex""","gop-3 encodes an ortholog of the mammalian CGI-51 (comparative gene identification-51) proteins that display a high degree of similarity to the Haemophilus influenza D15 protective surface antigen\; loss of gop-3 activity via large-scale RNAi screens indicates that GOP-3 is required for embryonic and larval development, as well as for normal postembryonic growth rates.","Is enriched in AFD\; germ line\; germline precursor cell\; and intestine based on proteomic\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; let-7\; and gld-1 based on proteomic\; RNA-seq\; and microarray studies. Is affected by eight chemicals including Zidovudine\; Rifampin\; and allantoin based on RNA-seq and microarray studies. Human ortholog(s) of this gene are implicated in non-alcoholic fatty liver disease. Is predicted to encode a protein with the following domains: Omp85 superfamily domain\; Bacterial surface antigen (D15)\; and Surface antigen D15-like. Is an ortholog of human SAMM50 (SAMM50 sorting and assembly machinery component)."
"215","Gpal_D383_g02774","R02E4.2","WBGene00044021","R02E4.2","integral component of membrane, ""membrane""","N.A.","Is enriched in body wall muscle cell\; head mesodermal cell\; and intestine based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-16\; rrf-3\; and daf-12 based on microarray\; tiling array\; and RNA-seq studies. Is affected by six chemicals including allantoin\; Sirolimus\; and Psoralens based on RNA-seq and microarray studies."
"216","Gpal_D383_g03622","F31C3.3","WBGene00009285","F31C3.3","N.A.","N.A.","Is enriched in body wall musculature\; germ line\; somatic nervous system\; and vulval muscle based on Chronogram\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; dpy-10\; and hsf-1 based on RNA-seq and microarray studies. Is affected by six chemicals including rotenone\; Alovudine\; and Deoxyglucose based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Golgi-body localisation protein domain\; Domain of unknown function (DUF2405)\; RNA pol II promoter Fmp27 protein domain\; FMP27, domain of unknown function DUF2405\; FMP27, GFWDK domain\; and FMP27,  C-terminal. Is an ortholog of human KIAA0100 (KIAA0100)."
"217","Gpal_D383_g08402","C54G10.4","WBGene00008320","slc-25A29","acyl carnitine transmembrane transport, ""acyl carnitine transmembrane transporter activity"", ""acyl carnitine transport"", ""amino acid transport"", ""integral component of membrane"", ""membrane""","N.A.","Is enriched in AFD\; hypodermis\; and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and eat-2 based on microarray and RNA-seq studies. Is affected by thirteen chemicals including methylmercury hydroxide\; Alovudine\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Mitochondrial carrier protein\; Mitochondrial substrate\/solute carrier\; and Mitochondrial carrier domain superfamily. Is an ortholog of human SLC25A29 (solute carrier family 25 member 29)."
"218","Gpal_D383_g03517","C41G7.9","WBGene00077771","tspo-1","integral component of membrane, ""membrane"", ""mitochondrial outer membrane""","N.A.","Is enriched in NSM and germ line based on RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and daf-12 based on microarray\; RNA-seq\; and proteomic studies. Is affected by five chemicals including rotenone\; Rifampin\; and allantoin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: TspO\/MBR family\; TspO\/MBR-related protein\; and TspO\/MBR-related superfamily. Is an ortholog of human TSPO (translocator protein)."
"219","Gpal_D383_g06408","ZK909.3","WBGene00014148","ZK909.3","guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity","N.A.","Is enriched in PLM\; germ line\; germline precursor cell\; hypodermis\; and intestine based on proteomic\; tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including daf-2\; glp-1\; and dpy-10 based on microarray\; proteomic\; RNA-seq\; and tiling array studies. Is affected by twenty chemicals including 1-methylnicotinamide\; rotenone\; and D-glucose based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: HD domain and HD\/PDEase domain. Is an ortholog of human HDDC3 (HD domain containing 3)."
"220","Gpal_D383_g10111","F29C4.1","WBGene00000897","daf-1","activin binding, ""activin receptor activity, ""activin receptor complex"", ""activin receptor signaling pathway"", ""ATP binding"", ""cellular response to growth factor stimulus"", ""dauer entry"", ""dauer larval development"", ""defense response to Gram-negative bacterium"", ""detection of bacterium"", ""determination of adult lifespan"", ""integral component of membrane"", ""kinase activity"", ""larval feeding behavior"", ""membrane"", ""multicellular organism development"", ""negative regulation of dauer larval development"", ""nervous system development"", ""nucleotide binding"", ""phosphorylation"", ""plasma membrane"", ""positive regulation of transcription by RNA polymerase II"", ""protein binding"", ""protein kinase activity"", ""protein phosphorylation"", ""protein serine/threonine kinase activity"", ""receptor complex"", ""regulation of dauer larval development"", ""regulation of eating behavior"", ""regulation of pharyngeal pumping"", ""transferase activity"", ""transforming growth factor beta receptor signaling pathway"", ""transforming growth factor beta-activated receptor activity"", ""transmembrane receptor protein serine/threonine kinase activity"", ""transmembrane receptor protein serine/threonine kinase signaling pathway"", type I""","daf-1 encodes a TGF-beta type I receptor homolog required, in association with the TGF beta-like type II receptor DAF-4, for the regulation of dauer formation by environmental signals through the ASI chemosensory neuron\; daf-1 activity is also required for normal adult lifespan\; DAF-1 is bound by BRA-1 and has an intracellular serine-threonine kinase domain\; mutations in daf-1 result in constitutive formation of dauer larvae even in abundant food\; DAF-1 is broadly expressed, but expression in the RIM\/RIC interneurons mediates development, pathogen avoidance behavior, feeding rate, and quiescence.","Is predicted to enable transforming growth factor beta-activated receptor activity. Is involved in several processes, including dauer entry\; larval feeding behavior\; and response to bacterium. Is expressed in several structures, including distal tip cell\; ganglia\; inner labial sensillum\; neurons\; and somatic nervous system. Human ortholog(s) of this gene are implicated in several diseases, including Ferguson-Smith tumor\; Loeys-Dietz syndrome 1\; and fibrodysplasia ossificans progressiva. Is an ortholog of human ACVR1C (activin A receptor type 1C) and TGFBR1 (transforming growth factor beta receptor 1)."
"221","Gpal_D383_g00453","Y113G7A.11","WBGene00013748","ssu-1","1-hydroxypyrene sulfotransferase activity, ""aryl sulfotransferase activity"", ""cytoplasm"", ""cytosol"", ""membrane"", ""response to osmotic stress"", ""sulfation"", ""sulfotransferase activity"", ""sulfur compound metabolic process"", ""transferase activity""","ssu-1 encodes, by alternative splicing, two isoforms of a cytosolicalcohol sulfotransferase that interacts in the ASJ amphid neurons with thestomatins UNC-1 and UNC-24\; the longer SSU-1 isoform is required fornormal anesthetic sensitivity and unc-1 phenotypes\; ssu-1(fc73) suppressesthe anesthetic sensitivity and uncoordinated phenotypes of unc-1 andunc-24 mutants\; ssu-1(fc73), along with daf-12, suppresses the syntheticconstitutive dauer-formation phenotype of fc83\;unc-24(e138) mutants\; ssu-1suppression is rescued by transgenic expression of SSU-1 in the ASJneurons alone, implying that sulfation is required for an endocrinefunction\; SSU-1 protein sulfates 4-nitrophenol and 2-naphthol substrates,and bisphenol A, but not monoamines or hydroxysteroids\; SSU-1 iscytosolic, but its activity is not detectable in cytosolic extracts\; ssu-1is strongly expressed in embryos, growing larvae, and dauer larvae\; ssu-1expression is increased in daf-2\; by homology with othersulfotransferases, SSU-1 may link sulfates to the alcohol group of smallmolecules as part of detoxification or signal transduction.","Enables 1-hydroxypyrene sulfotransferase activity and aryl sulfotransferase activity. Is involved in sulfur compound metabolic process. Located in cytosol. Is expressed in ASJL and ASJR. Human ortholog(s) of this gene are implicated in several diseases, including gastrointestinal system cancer (multiple)\; lung cancer (multiple)\; and reproductive organ cancer (multiple). Is an ortholog of human SULT1B1 (sulfotransferase family 1B member 1)\; SULT2A1 (sulfotransferase family 2A member 1)\; and SULT2B1 (sulfotransferase family 2B member 1)."
"222","Gpal_D383_g07632","Y75B8A.16","WBGene00013551","Y75B8A.16","Golgi cisterna membrane, ""inorganic anion transport"", ""integral component of membrane"", ""intracellular pH reduction"", ""ion transmembrane transport"", ""membrane"", ""voltage-gated anion channel activity""","N.A.","Is enriched in NSM\; germ line\; and germline precursor cell based on RNA-seq studies. Is affected by several genes including daf-2\; clk-1\; and npr-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by ten chemicals including rotenone\; Alovudine\; and stavudine based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: The Golgi pH Regulator (GPHR) Family N-terminal\; Abscisic acid G-protein coupled receptor\; The Golgi pH regulator\/GPCR-type G protein\; Golgi pH regulator, conserved domain\; and Abscisic acid G-protein coupled receptor-like domain. Is an ortholog of human GPR89A (G protein-coupled receptor 89A)."
"223","Gpal_D383_g04647","Y37E11AR.7","WBGene00021373","Y37E11AR.7","membrane","N.A.","Is enriched in male based on RNA-seq studies. Is affected by several genes including daf-2\; eat-2\; and clk-1 based on tiling array\; RNA-seq\; and microarray studies. Is affected by five chemicals including multi-walled carbon nanotube\; D-glucose\; and Rifampin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Immunoglobulin-like domain superfamily and FAM187A\/B. Is an ortholog of human FAM187A (family with sequence similarity 187 member A) and FAM187B (family with sequence similarity 187 member B)."
"224","Gpal_D383_g13177","F07G11.1","WBGene00017228","F07G11.1","integral component of membrane, ""membrane""","N.A.","Is affected by several genes including daf-16\; daf-12\; and clk-1 based on RNA-seq and microarray studies. Is affected by seven chemicals including methylmercuric chloride\; multi-walled carbon nanotube\; and sucrose based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Methyltransferase FkbM domain and Methyltransferase FkbM."
